BoilingPoint6	subPropertyOf	topObjectProperty
BoilingPoint6	type	ObjectProperty
BoilingPoint6	type	SymmetricProperty
BoilingPoint6	type	TransitiveProperty
BoilingPoint7	domain	element
BoilingPoint7	range	element
BoilingPoint7	subPropertyOf	topObjectProperty
BoilingPoint7	type	ObjectProperty
BoilingPoint7	type	SymmetricProperty
BoilingPoint7	type	TransitiveProperty
BoilingPoint8	domain	element
BoilingPoint8	range	element
BoilingPoint8	subPropertyOf	topObjectProperty
BoilingPoint8	type	ObjectProperty
BoilingPoint8	type	SymmetricProperty
BoilingPoint8	type	TransitiveProperty
BoilingPoint9	domain	element
BoilingPoint9	range	element
BoilingPoint9	subPropertyOf	topObjectProperty
BoilingPoint9	type	ObjectProperty
BoilingPoint9	type	SymmetricProperty
BoilingPoint9	type	TransitiveProperty
BondType	subPropertyOf	topDataProperty
Borinate	hasBondType	single
Borinate	type	BorinicEster
Borinate	type	NamedIndividual
BorinicAcid	subClassOf	GroupsContainingBoron
BorinicEster	subClassOf	GroupsContainingBoron
Borino	hasBondType	single
Borino	type	BorinicAcid
Borino	type	NamedIndividual
Boronate	hasBondType	single
Boronate	type	BoronicEster
Boronate	type	NamedIndividual
BoronicAcid	subClassOf	GroupsContainingBoron
BoronicEster	subClassOf	GroupsContainingBoron
Borono	hasBondType	single
Borono	type	BoronicAcid
Borono	type	NamedIndividual
Br	hasAbundance	Abundance2
Br	hasBoilingPoint	BoilingPoint4
Br	hasConductivity	Conductivity1
Br	hasDensity	Density2
Br	hasElectronAffinity	ElectronAffinity4
Br	hasElectronegativity	Electronegativity4
Br	hasFamily	Family17
Br	hasHeat	Heat5
Br	hasIonization	Ionization3
Br	hasMeltingPoint	MeltingPoint4
Br	hasModulus	Modulus1
Br	hasPeriod	Period4
Br	hasRadius	Radius2
Br	hasState	StateLiquid
Br	hasWeight	Weight4
Br	isPartOf	AlkylmagnesiumHalide
Br	isPartOf	bromo
Br	isPartOf	halo
Br	type	NamedIndividual
Br	type	reactiveNonmetals
C	hasAbundance	Abundance3
C	hasBoilingPoint	BoilingPoint8
C	hasConductivity	Conductivity2
C	hasDensity	Density2
C	hasElectronAffinity	ElectronAffinity2
C	hasElectronegativity	Electronegativity4
C	hasFamily	Family14
C	hasHeat	Heat5
C	hasIonization	Ionization2
C	hasMeltingPoint	MeltingPoint9
C	hasModulus	Modulus1
C	hasPeriod	Period2
C	hasRadius	Radius1
C	hasState	StateSolid
C	hasWeight	Weight2
C	isPartOf	Acetal
C	isPartOf	Aldehyde
C	isPartOf	Alkenyl
C	isPartOf	Alkyl
C	isPartOf	Alkynyl
C	isPartOf	Amidine
C	isPartOf	Carbamate
C	isPartOf	Carboalkoxy
C	isPartOf	Carbodithio
C	isPartOf	CarbodithioicAcid
C	isPartOf	CarbonateEster
C	isPartOf	Carbonyl
C	isPartOf	CarbothioicOAcid
C	isPartOf	CarbothioicSAcid
C	isPartOf	Carboxamide
C	isPartOf	Carboxyl
C	isPartOf	Carboxylate
C	isPartOf	CarboxylicAnhydride
C	isPartOf	Cyanate
C	isPartOf	Haloformyl
C	isPartOf	Hemiacetal
C	isPartOf	Hemiketal
C	isPartOf	Imide
C	isPartOf	Isocyanate
C	isPartOf	Isonitrile
C	isPartOf	Isothiocyanate
C	isPartOf	Ketal
C	isPartOf	Methylenedioxy
C	isPartOf	Nitrile
C	isPartOf	OrthocarbonateEster
C	isPartOf	Orthoester
C	isPartOf	Oxime
C	isPartOf	Phenyl
C	isPartOf	PrimaryAldimine
C	isPartOf	PrimaryKetimine
C	isPartOf	Pyridyl
C	isPartOf	SecondaryAldimine
C	isPartOf	SecondaryKetimine
C	isPartOf	Thial
C	isPartOf	Thiocyanate
C	isPartOf	Thioketone
C	isPartOf	Thiolester
C	isPartOf	Thionoester
C	type	NamedIndividual
C	type	reactiveNonmetals
Ca	hasAbundance	Abundance3
Ca	hasBoilingPoint	BoilingPoint5
Ca	hasConductivity	Conductivity3
Ca	hasDensity	Density2
Ca	hasElectronAffinity	ElectronAffinity1
Ca	hasElectronegativity	Electronegativity1
Ca	hasFamily	Family2
Ca	hasHardness	Hardness3
Ca	hasHeat	Heat4
