drugid	smiles
DB00222	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
DB00223	C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB00224	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
DB00226	NC(N)=NCC1COC2(CCCCC2)O1
DB00227	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DB00228	FC(F)OC(F)(F)C(F)Cl
DB00229	CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
DB00230	CC(C)C[C@H](CN)CC(=O)O
DB00231	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00232	CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB00233	Nc1ccc(C(=O)O)c(O)c1
DB00234	CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1
DB00235	Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
DB00236	O=C(CCBr)N1CCN(C(=O)CCBr)CC1
DB00237	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DB00239	Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB00240	C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
DB00241	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
DB00242	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
DB00243	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00244	Nc1ccc(O)c(C(=O)O)c1
DB00245	CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
DB00246	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00247	CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
DB00248	C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB00249	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
DB00250	Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
DB00251	CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
DB00252	O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00253	CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
DB00254	C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
DB00255	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00256	CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
DB00257	Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
DB00259	Nc1ccc(S(N)(=O)=O)cc1
DB00260	N[C@@H]1CONC1=O
DB00261	O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
DB00262	O=NN(CCCl)C(=O)NCCCl
DB00263	Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
DB00264	COCCc1ccc(OCC(O)CNC(C)C)cc1
DB00266	O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
DB00267	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
DB00268	CCCN(CCC)CCc1cccc2c1CC(=O)N2
DB00269	COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
DB00270	COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
DB00271	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
DB00272	NCCc1ccn[nH]1
DB00273	CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
DB00274	CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
DB00275	CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00276	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
DB00277	Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00278	CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
DB00279	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
DB00280	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
DB00281	CCN(CC)CC(=O)Nc1c(C)cccc1C
DB00282	NCCC(O)(P(=O)(O)O)P(=O)(O)O
DB00283	CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
DB00284	C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
DB00285	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
DB00287	CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O
DB00288	CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
DB00289	CNCC[C@@H](Oc1ccccc1C)c1ccccc1
DB00290	Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1
DB00291	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
DB00292	CCOC(=O)c1cncn1[C@H](C)c1ccccc1
DB00293	Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
DB00294	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
DB00295	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
DB00296	CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
DB00297	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
DB00298	Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
DB00299	Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
DB00300	CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C
DB00301	Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
DB00302	NC[C@H]1CC[C@H](C(=O)O)CC1
DB00303	C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
DB00304	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
DB00305	CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
DB00306	C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
DB00307	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
DB00308	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
DB00309	CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
DB00310	NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
DB00311	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
DB00312	CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00313	CCCC(CCC)C(=O)O
DB00315	CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
DB00316	CC(=O)Nc1ccc(O)cc1
DB00317	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
DB00318	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
DB00319	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O
DB00320	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB00321	CN(C)CCC=C1c2ccccc2CCc2ccccc21
DB00322	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
DB00323	Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
DB00324	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
DB00325	N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
DB00327	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
DB00328	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
DB00330	CC[C@@H](CO)NCCN[C@@H](CC)CO
DB00331	CN(C)C(=N)NC(=N)N
DB00332	CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
DB00333	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
DB00334	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
DB00335	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
DB00336	NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
